6mPyomXT6eKBKN,"delete_role","role",""
6mPyonHZqaBO0o,"view_all_group","group",""
6mPyooj0KeyfqX,"view_group","group",""
6mPyopPG00POLJ,"create_group","group",""
6mPyoq7z9UFkKE,"edit_group","group",""
6mPyoqt7tAd5Cd,"delete_group","group",""
6mPyosLfpgTcT6,"group_get_allowed_groups","group",""
6mPyotBIPAwlZD,"view_all_admin","admin",""
6mPyots4KWnszC,"view_admin","admin",""
6mPyovLrHE5IGw,"create_admin","admin",""
6mPyowCC4eEiQF,"edit_admin","admin",""
6mPyowlZtmUvj8,"delete_admin","admin",""
6mPyoxYii0NKSL,"logout_admin","admin",""
6mPyoxYii0LlRH,"view_all_permission","permission",""
6mPyoxYii0LQSI,"create_permission","permission",""
6mPyoxYii0lQSJ,"edit_permission","permission",""
6mPyoxYii0lQSK,"delete_permission","permission",""
6mPyoxYii0lQSL,"get_permission","permission",""
6mPyoxYii0lQRS,"create_org_fieldmap","org_fieldmap","org"
6mPyoxYii0lQRT,"edit_org_fieldmap","org_fieldmap","org"
6mPyoxYii0lQSU,"get_org_fieldmap","org_fieldmap","org"
6mPyoxYii0lQRW,"delete_org_fieldmap","org_fieldmap","org"
7MRG5CjJewKiiF,"create_merchant_invite","merchant","merchant"
7MRGGzKxLyOGog,"view_merchant_invite","merchant","merchant"
7PAjIFRwfAMyu6,"schedule_update","permission",""
7PAjXWk8bYXEr9,"schedule_create","permission",""
7PAjeUBsDQAy9m,"schedule_assign","permission",""
7PAk1DaDjM36pf,"schedule_migration","permission",""
7PAk88uX3g6JQp,"schedule_delete","permission",""
