internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
BAD_REQUEST_PAYMENT_AMOUNT_TOO_HIGH_DECLINED_BY_ISSUER,Payment amount too high for the customer,transaction_limit_exceeded,Business,customer,Retry with another card with higher limit,payment_authorization,D
BAD_REQUEST_PAYMENT_DECLINED_BY_BANK,Declined by Bank,card_declined,Business,issuer_bank,Retry with another card,payment_authorization,N
BAD_REQUEST_PAYMENT_DECLINED_CONTACT_ISSUING_BANK,Payment declined contact issuing bank.,card_declined,Technical,issuer_bank,Retry with another card,payment_authorization,N
BAD_REQUEST_PAYMENT_CARD_ISSUING_BANK_NOT_PERMITTING_PAYMENT,Payment not permitted by Issuing Bank,card_declined,Business,issuer_bank,Retry with another card,payment_authorization,N
BAD_REQUEST_PAYMENT_DECLINED_BY_BANK_DUE_TO_BLOCKED_CARD,Blocked card,debit_instrument_blocked,Business,customer,Retry with another card,payment_authorization,D
BAD_REQUEST_CARD_FROZEN,Card frozen,debit_instrument_blocked,Business,customer,Retry with another card,payment_authorization,D
BAD_REQUEST_CARD_INACTIVE,Card inactive,debit_instrument_inactive,Business,customer,Retry with another card,payment_authorization,D
BAD_REQUEST_PAYMENT_BLOCKED_DUE_TO_FRAUD,Payment blocked for possible fraud,payment_risk_check_failed,Business,issuer_bank,Retry with another card,payment_authorization,N
BAD_REQUEST_PAYMENT_DECLINED_BY_BANK_DUE_TO_RISK,Payment blocked for possible fraud,payment_risk_check_failed,Business,issuer_bank,Retry with another card,payment_authorization,N
BAD_REQUEST_TRANSACTION_AMOUT_GREATER_THAN_REGISTERED_AMOUNT,Amount greater than registered amount,transaction_limit_exceeded,Business,customer,Non actionable,payment_authorization,N
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD,Payment blocked for possible fraud,payment_risk_check_failed,Business,internal,Retry with another card,payment_initiation,N
GATEWAY_ERROR_AUTHENTICATION_STATUS_ATTEMPTED,Payment failed as card issuing bank is not available for 3DS authentication. Please use another card or reach out to card issuing bank.,payment_timed_out,,issuer_bank,,payment_authentication,
BAD_REQUEST_PAYMENT_CARD_HOLDER_AUTHENTICATION_FAILED,Customer authentication failed due to incorrect details,incorrect_card_details,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_OTP_MAXIMUM_ATTEMPTS_REACHED,Customer has exceeded the max number of OTP attempts for card,otp_attempts_exceeded,Business,customer,Retry with another card,payment_authentication,D
BAD_REQUEST_PAYMENT_PIN_ATTEMPTS_EXCEEDED,Customer has exceeded the max number of pin attempts for card,pin_attempts_exceeded,Business,customer,Retry with another card,payment_authentication,D
BAD_REQUEST_PAYMENT_PIN_INCORRECT,The PIN entered is incorrect,incorrect_pin,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_INVALID_PIN,The PIN entered is incorrect,incorrect_pin,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_INVALID_CVV,The CVV entered is incorrect,incorrect_cvv,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_EXPIRED,The card has expired,card_expired,Business,customer,Retry with any other valid card,payment_authentication,D
BAD_REQUEST_PAYMENT_TIMED_OUT,The request was received but a timeout occurred at the payment processor.,payment_timed_out,Technical,customer,Please try again in some time,payment_authentication,I
GATEWAY_ERROR_PAYMENT_AUTHENTICATION_ERROR,Customer authentication failed due to incorrect details,authentication_failed,Technical,customer,Retry with correct details/ another card,payment_authentication,I
BAD_REQUEST_AUTHENTICATION_FAILED,Customer authentication failed due to incorrect details,authentication_failed,Technical,customer,Retry with correct details/ another card,payment_authentication,I
GATEWAY_ERROR_AUTHENTICATION_NOT_AVAILABLE,Customer authentication failed due to incorrect details,bank_technical_error,Technical,issuer_bank,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_CARD_ISSUER_INVALID,The card or account the card is connected to is invalid.,incorrect_card_details,Business,customer,Retry with another card,payment_authentication,D
GATEWAY_ERROR_PAYMENT_BIN_CHECK_FAILED,The card or account the card is connected to is invalid.,card_number_invalid,Business,customer,Retry with another card,payment_authentication,D
GATEWAY_ERROR_CARD_INVALID_NUMBER,The card number is incorrect.,card_number_invalid,Business,customer,Retry with correct details/ another card,payment_authentication,D
GATEWAY_ERROR_INVALID_CARD_TYPE,The card does not support this type of purchase.,card_type_invalid,Business,customer,Retry with correct details/ another card,payment_authentication,D
GATEWAY_ERROR_CARD_INVALID_CVV,Invalid CVV,incorrect_cvv,Business,customer,Retry with correct details/ another card,payment_authentication,D
GATEWAY_ERROR_CARD_INVALID_NAME,Invalid name on card,incorrect_cardholder_name,Business,customer,Retry with correct details/ another card,payment_authentication,D
GATEWAY_ERROR_USER_INACTIVE,Payment cancelled as the customer was inactive ,payment_session_expired,Technical,customer,,payment_authentication,I
GATEWAY_ERROR_CARD_INVALID_BRAND,The card does not support this type of purchase.,gateway_technical_error,Business,gateway,,payment_authentication,I
GATEWAY_ERROR_INVALID_PARES_XML,Invalid payment format,server_error,Technical,internal,System Retry,payment_authentication,I
GATEWAY_ERROR_PARES_DATA_MISMATCH,Invalid Payment Data,gateway_technical_error,Technical,gateway,System Retry,payment_authentication,I
GATEWAY_ERROR_ISSUER_UNAVAILABLE,Issuing Bank not available,bank_technical_error,Technical,issuer_bank,System Retry,payment_authorization,I
GATEWAY_ERROR_ISSUER_ACS_NOT_AVAILABLE,Issuing Bank not available,bank_technical_error,Technical,issuer_bank,System Retry,payment_authorization,I
GATEWAY_ERROR_ISSUER_ACS_SYSTEM_FAILURE,Payment failed as card issuing bank is not available for 3DS authentication. Please use another card or reach out to card issuing bank.,bank_technical_error,Technical,issuer_bank,System Retry,payment_authorization,I
BAD_REQUEST_CARD_ISSUING_BANK_UNAVAILABLE,Issuing Bank not available,bank_technical_error,Technical,issuer_bank,System Retry,payment_authorization,I
BAD_REQUEST_INVALID_CARD_DETAILS,Invalid card details,incorrect_card_details,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_CVV_NOT_PROVIDED,Invalid CVV,incorrect_cvv,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_TYPE_INVALID,Invalid card type,card_type_invalid,Business,customer,Retry with another card,payment_authentication,N
GATEWAY_ERROR_ENSTAGE_ERROR,Enstage error,gateway_technical_error,Technical,gateway,Non actionable,payment_authentication,N
BAD_REQUEST_PAYMENT_DECLINED_3DSECURE_AUTH_FAILED,3DS Authentication Failed (headless OTP),authentication_failed,Technical,customer,Non actionable,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_AUTHENTICATION_NOT_AVAILABLE,Card authentication not available,card_not_enrolled,Technical,customer,Non actionable,card_enrollment_check,N
BAD_REQUEST_PAYMENT_FAILED_DUE_TO_INVALID_BIN,Invalid BIN used for payment,card_number_invalid,Technical,customer,Retry with another card,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_NUMBER_POSSIBLY_INVALID,Invalid card number,card_number_invalid,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_NUMBER_NOT_LEGITIMATE,Invalid card number,card_number_invalid,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_PAYMENT_CARD_INVALID_EXPIRY_DATE,Invalid expiry date,incorrect_card_expiry_date,Business,customer,Retry with correct details/ another card,payment_authentication,D
BAD_REQUEST_INVALID_COUNTRY,Invalid country,card_declined,Business,gateway,Retry with another card,payment_authentication,D
BAD_REQUEST_PAYMENT_PARES_XML_SIGNATURE_ERROR,Invalid payment format,gateway_technical_error,Technical,gateway,Non actionable,payment_authentication,N
BAD_REQUEST_PAYMENT_NO_RESPONSE_RECEIVED_FROM_BANK,Payment Timed Out,payment_timed_out,Technical,issuer_bank,System Retry,payment_authorization,I
GATEWAY_ERROR_AUTHENTICATION_STATUS_FAILED,,authentication_failed,,customer,,payment_authentication,
GATEWAY_ERROR_SYSTEM_UNAVAILABLE,,gateway_technical_error,,gateway,,payment_authorization,
BAD_REQUEST_PAYMENT_OTP_VALIDATION_ATTEMPT_LIMIT_EXCEEDED,,otp_attempts_exceeded,,customer,,payment_authentication,
BAD_REQUEST_PAYMENT_CARD_DAILY_WITHDRAWAL_FREQUENCY_LIMITS_EXCEEDED,,transaction_daily_count_exceeded,,customer,,payment_authorization,
BAD_REQUEST_PAYMENT_CARD_WITHDRAWAL_AMOUNT_LIMITS_EXCEEDED,,transaction_limit_exceeded,,customer,,payment_authorization,
BAD_REQUEST_PAYMENT_OTP_INCORRECT,,incorrect_otp,,customer,,payment_authentication,
GATEWAY_ERROR_CARD_ISSUING_BANK_SYSTEM_ERROR,,bank_technical_error,,issuer_bank,,payment_authorization,
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD_GATEWAY,,payment_risk_check_failed,,gateway,,payment_authentication,
BAD_REQUEST_PAYMENT_BANK_SYSTEM_ERROR,,bank_technical_error,,issuer_bank,,payment_authorization,
GATEWAY_ERROR_TERMINAL_NOT_ALLOWED,,server_error,,internal,,payment_initiation,
GATEWAY_ERROR_REMITTER_COMPLIANCE_VIOLATION,,gateway_technical_error,,gateway,,payment_authorization,
GATEWAY_ERROR_TERMINAL_NOT_ENABLED,,server_error,,internal,,payment_initiation,
BAD_REQUEST_CARD_INVALID_NUMBER,,card_number_invalid,,customer,,payment_authentication,
GATEWAY_ERROR_CARD_NETWORK_UNABLE_TO_ROUTE,,server_error,,internal,,payment_initiation,
GATEWAY_ERROR_CHECKSUM_MATCH_FAILED,,server_error,,internal,,payment_initiation,
GATEWAY_ERROR_PAYMENT_TRANSACTION_NOT_FOUND,,gateway_technical_error,,gateway,,payment_authorization,
GATEWAY_ERROR_CARD_NUMBER_INVALID_LENGTH,,card_number_invalid,,customer,,payment_authentication,
GATEWAY_ERROR_INVALID_TERMINAL_SECRET,,server_error,,internal,,payment_initiation,
GATEWAY_ERROR_PERMISSION_DENIED_FOR_ACTION,,gateway_technical_error,,gateway,,payment_authorization,
gateway_error_payment_capture_failed,,capture_failed,,gateway ,,payment_capture,
BAD_REQUEST_SUBSCRIPTION_SCHEDULED_FAILURE,,server_error,,internal,,payment_initiation,
BAD_REQUEST_AMOUNT_MISMATCH,,amount_mismatch,,provider,,payment_authorization,
BAD_REQUEST_EXTRA_FIELDS_PROVIDED,,extra_field_sent,,provider,,payment_authorization,
BAD_REQUEST_DECRYPTION_FAILED,,decryption_failed,,provider,,payment_authorization,
BAD_REQUEST_SIGNING_KEY_EXPIRED,,signing_key_expired,,provider,,payment_authorization,
BAD_REQUEST_MESSAGE_EXPIRED,,message_expired,,provider,,payment_authorization,
BAD_REQUEST_PAYMENT_NOT_FOUND,,payment_not_found,,provider,,payment_authorization,
BAD_REQUEST_MERCHANT_ID_DOES_NOT_MATCH,,invalid_merchant_id,,provider,,payment_authorization,
BAD_REQUEST_INPUT_VALIDATION_FAILURE,,incorrect_request,,provider,,payment_authorization,
BAD_REQUEST_CARD_INTERNATIONAL_NOT_ALLOWED_FOR_PAYMENT_GATEWAY,International cards are not allowed for this merchant on payment gateway,international_transaction_not_allowed,Business,business,Retry with domestic card,payment_initiation,D
BAD_REQUEST_CARD_INTERNATIONAL_NOT_ALLOWED_FOR_PAYMENT_LINKS,International cards are not allowed for this merchant on payment links,international_transaction_not_allowed,Business,business,Retry with domestic card,payment_initiation,D
BAD_REQUEST_CARD_INTERNATIONAL_NOT_ALLOWED_FOR_PAYMENT_PAGES,International cards are not allowed for this merchant on payment pages,international_transaction_not_allowed,Business,business,Retry with domestic card,payment_initiation,D
BAD_REQUEST_CARD_INTERNATIONAL_NOT_ALLOWED_FOR_INVOICES,International cards are not allowed for this merchant on invoices,international_transaction_not_allowed,Business,business,Retry with domestic card,payment_initiation,D
BAD_REQUEST_PAYMENT_CANNOT_BE_CANCELLED,Payment created long back and cannot be cancelled now,payment_cancelled,,customer,,payment_authentication,
GATEWAY_ERROR_ISSUER_DOWN,Payment processing failed due to error at bank or wallet gateway,bank_technical_error,,issuer_bank,,payment_authorization,
BAD_REQUEST_CARD_INVALID_DATA,Payment failed as card details (CVV or expiry date) are incorrect. Please check and try again,incorrect_card_details,,customer,Retry with correct details/another card,payment_authorization,D
