internal_error_code,error_description,reason,failure_type,source,next_best_action,step,recoverable
GATEWAY_ERROR_REVERSAL_FAILURE,Payment processing failed due to error at bank or wallet gateway,reversal_failed,Technical,Gateway,,Refund,I
server_error_ASSERTION_ERROR,The server encountered an error. The incident has been reported to admins.,technical_error,Technical,Gateway,,Payment_response,I
GATEWAY_ERROR_CREDIT_REVERSAL_TIMEOUT,Credit reversal is timed out,reversal_failed,Technical,Gateway,,Refund,I
server_error_LOGICAL_ERROR,The server encountered an error. The incident has been reported to admins.,technical_error,Technical,Gateway,,Payment_response,I
BAD_REQUEST_VALIDATION_FAILURE,Validation Failure,validation_failed,Technical,Gateway,,Payment_response,D
GATEWAY_ERROR_PAYMENT_FAILED,Payment processing failed due to error at bank or wallet gateway,payment_failed,Technical,Gateway,,Payment_response,I
server_error,The server encountered an error. The incident has been reported to admins.,technical_error,Technical,Internal,,Payment creation,D
GATEWAY_ERROR_ENCRYPTION_ERROR,Payment processing failed due to error at bank or wallet gateway,technical_error,Technical,Gateway,,Payment_Request,D
server_error_RUNTIME_ERROR,The server encountered an error. The incident has been reported to admins.,technical_error,Technical,Internal,,Payment creation,I
BAD_REQUEST_EXPIRED_VPA,Payment failed because VPA is marked as Expired,invalid_vpa,Business,Customer,,Validate_vpa,N
BAD_REQUEST_PAYMENT_POSSIBLE_FRAUD,Payment declined because it didn't pass all risk checks,risk_decline,Business,Customer,,Authentication,N
BAD_REQUEST_PSP_DOESNT_EXIST,Invalid VPA. Please enter a valid Virtual Payment Address,invalid_psp,Technical,Merchant,,Payment_Request,N
GATEWAY_ERROR_PAYMENT_DUPLICATE_REQUEST,Payment processing failed due to error at bank or wallet gateway,invalid_request,Technical,Merchant,,Payment_Request,D
GATEWAY_ERROR_NO_ORIGINAL_DEBIT_CREDIT_REQUEST_FOUND,Payment processing failed due to error at bank or wallet gateway,no_request_found,,Gateway,,Txnstatus_request,N
BAD_REQUEST_PSP_ERROR,Payment failed at PSP,psp_error,Technical,PSP,,Payment_Request,D
GATEWAY_ERROR_BENEFICIARY_TRANSACTION_NOT_PERMITTED,Transaction not permitted to cardholder on beneficiary side,invalid_beneficiary,Business,Issuing Bank,,Debit_response,N
GATEWAY_ERROR_DO_NOT_HONOUR_REMITTER,Payment processing failed due to error at bank or wallet gateway,bank_decline,Business,Gateway,,Txnstatus_response,N
GATEWAY_ERROR_CONNECTION_TIMEOUT_IN_REQPAY_CREDIT,Payment processing failed due to error at bank or wallet gateway,request_timeout,Technical,Gateway,,Credit_request,I
GATEWAY_ERROR_INACTIVE_DORMANT_BENEFICIARY_ACCOUNT,Beneficiary account is inactive or dormant,invalid_beneficiary,Business,Customer,,Debit_response,N
BAD_REQUEST_ERROR,Bad request,invalid_request,Technical,Merchant,,Payment_Request,D
BAD_REQUEST_PAYMENT_UPI_MOBILE_NUMBER_MAPPED_TO_MULTIPLE_CUSTOMERS,Mobile number registered with multiple customers,invalid_user,Business,Customer,,Payment_Request,D
BAD_REQUEST_PAYMENT_UPI_FUNCTION_NOT_SUPPORTED,The requested UPI function is not supported,upi_not_supported,Technical,Merchant,,Payment_Initiation,N
GATEWAY_ERROR_NPCI_RESPONSE_TIMEOUT,Payment processing failed due to error at bank or wallet gateway,response_timeout,Technical,NPCI,,Credit_request,I
GATEWAY_ERROR_VPA_RESOLUTION_FAILED,Payment processing failed due to error at bank or wallet gateway,invalid_vpa,Technical,Customer,,Validate_vpa,D
GATEWAY_ERROR_PAYMENT_DECLINED_BY_BANK_DUE_TO_RISK_BENEFICARY,Suspected fraud or transaction is declined based on risk score by bank,risk_decline,Business,Beneficary Bank,,Credit_response,N
BAD_REQUEST_P2P_REGISTRATION_CARD_EXPIRED,Card used while setting UPI PIN has expired. Please use another debit card to reset UPI PIN or use another bank account for payment,debit_card_expired,Business,Customer,,Payment_response,N
GATEWAY_ERROR_REMITTER_DUPLICATE_RRN_FOUND,Payment processing failed due to error at bank or wallet gateway,duplicate_transaction,Technical,Gateway,,Payment_response,D
GATEWAY_ERROR_INTERNAL_FORMAT_ERROR,Payment processing failed due to error at bank or wallet gateway,invalid_request,Technical,Gateway,,Payment_Request,N
BAD_REQUEST_PAYMENT_UPI_MULTIPLE_ACCOUNTS_LINKED,Payment failed since account linked with multiple names,multiple_account_linked,Business,Customer,,Payment_Request,N
BAD_REQUEST_PAYMENT_UPI_DEVICE_MISSING,UPI device must be present,invalid_device,Technical,Customer,,Payment_Request,N
GATEWAY_ERROR_AUTHORIZATION_FAILED,Payment processing failed due to error at bank or wallet gateway,authorization_failed,Technical,Gateway,,Request_beneficiary_details,I
GATEWAY_ERROR_SYSTEM_UNAVAILABLE,Payment processing failed due to error at bank or wallet gateway,technical_error,Technical,Gateway,,Payment_response,D
server_error_INVALID_ARGUMENT,The server encountered an error. The incident has been reported to admins.,invalid_request,Technical,Gateway,,Payment_response,N
BAD_REQUEST_ACCOUNT_CLOSED,Bank Account is closed.,invalid_account,Business,Customer,,Payment_Request,N
BAD_REQUEST_PAYMENT_ACCOUNT_INSUFFICIENT_BALANCE,Account Balance is insufficient,insufficient_funds,Business,Customer,,Debit_response,N
GATEWAY_ERROR_BENEFICIARY_ACCOUNT_DOES_NOT_EXIST,Beneficiary account does not exist,invalid_beneficiary,Business,Customer,,Credit_response,N
GATEWAY_ERROR_BENEFICIARY_INTERNAL_EXCEPTION,Payment processing failed due to error at bank or wallet gateway,technical_error,Technical,Gateway,,Payment_response,I
