internal_error_code,error_description,code_detail,failure_type,point_of_failure,next_best_action,failure_stage,recoverable
GATEWAY_ERROR_NO_RECORDS_FOUND,Invalid Payment Data,invalid_request,Technical,Gateway,Check with merchant/ gateway,,D
GATEWAY_ERROR_MESSAGE_ERROR,Invalid Payment Data,invalid_request,Technical,Gateway,Check with merchant/ gateway,,D
GATEWAY_ERROR_REQUEST_ERROR,Invalid Payment Data,invalid_request,Technical,Gateway,Check with merchant/ gateway,,D
GATEWAY_ERROR_INVALID_PARES_XML,Invalid payment format,invalid_request,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_PARES_DATA_MISMATCH,Invalid Payment Data,invalid_request,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_DATA_MISMATCH,Invalid Payment Data,invalid_request,Technical,Gateway,Check with merchant/ gateway,,D
GATEWAY_ERROR_PAYMENT_MISSING_DATA,Missing Payment Data,invalid_amount,Technical,Gateway,System Retry,,I
BAD_REQUEST_PAYMENT_INVALID_FORMAT,Invalid payment format,invalid_request,Technical,Gateway,Check with merchant/ gateway,,D
GATEWAY_ERROR_INVALID_FORMAT,Invalid payment format,invalid_request,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_INVALID_JSON,Invalid payment format,invalid_request,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_INVALID_RESPONSE,Invalid response,invalid_request,Technical,Gateway,Check with merchant/ gateway,,D
GATEWAY_ERROR_INVALID_TRANSACTION,Invalid transaction,invalid_transaction,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_TRANSACTION_TYPE_NOT_SUPPORTED,Invalid transaction,invalid_transaction,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_DO_NOT_HONOUR_REMITTER,Do Not Honour - Lost / Stolen Card,invalid_card,Business,Gateway,Retry with another card,Authorization,D
BAD_REQUEST_CARD_STOLEN_OR_LOST,Do Not Honour - Lost / Stolen Card,invalid_card,Business,Gateway,Retry with another card,Authorization,D
BAD_REQUEST_PAYMENT_CARD_INSUFFICIENT_BALANCE,Insufficient Balance ,limit_breach,Business,Gateway,Retry with another card,Authorization,N
GATEWAY_ERROR_DENIED_BY_RISK,Payment declined by gateway,risk_decline,Business,Gateway,Retry with another card,Authorization,N
BAD_REQUEST_PAYMENT_DECLINED_BY_GATEWAY_DUE_TO_RISK,Payment declined by gateway,risk_decline,Business,Gateway,Retry with another card,Authorization,N
BAD_REQUEST_PAYMENT_DECLINED_BY_GATEWAY,Payment declined by gateway,gateway_decline,Business,Gateway,System Retry,Authorization,I
GATEWAY_ERROR_AGGREGATOR_DOWN,Aggregator not available,Time out,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_ISSUER_UNAVAILABLE,Issuing Bank not available,bank_unavailable,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_ISSUER_ACS_NOT_AVAILABLE,Issuing Bank not available,bank_unavailable,Technical,Gateway,System Retry,,I
BAD_REQUEST_PAYMENT_TIMED_OUT_AT_GATEWAY,"The request was received, but a timeout occurred at the payment processor.",payment_time_out,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_REQUEST_TIMEOUT,"The request was received, but a timeout occurred at the payment processor.",request_time_out,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_ACQUIRER_UNAVAILABLE,Payment Timed Out,bank_unavailable,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_ISSUER_ACS_SYSTEM_FAILURE,Issuer's ACS system failed,bank_unavailable,Technical,Gateway,System Retry,,I
BAD_REQUEST_CARD_ISSUING_BANK_UNAVAILABLE,Issuing Bank not available,bank_unavailable,Technical,Gateway,System Retry,,I
<Verify Timeout>,Timeout on Verify,Time out,Technical,Gateway,System Retry,Verify,I
BAD_REQUEST_PAYMENT_FAILED,Payment Failed,authorization_failure,Technical,Gateway,Retry with another card,Authorization,N
BAD_REQUEST_UNABLE_TO_AUTHORIZE_PAYMENT,Unable to authorize payment,authorization_failure,Technical,Issuer,System Retry,Authorization,I
GATEWAY_ERROR_GENERIC_ERROR,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_SUPPORT_FAILED,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_TRANSACTION_DECLINED,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_GENERIC_TRANSACTION_ERROR,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_OTPELF_FAILURE,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_SWITCH_UNOPERATIVE,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_COMMUNICATION_ERROR,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_SQL_ERROR,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_FATAL_ERROR,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
GATEWAY_ERROR_INTERNAL_SERVER_ERROR,Technical Error,gateway_transaction_error ,Technical,Gateway,System Retry,,I
BAD_REQUEST_PAYMENT_DECLINED_3DSECURE_AUTH_FAILED,3DS Authentication Failed,auhtorization_failure,Technical,Issuer,System Retry,Authentication,I
BAD_REQUEST_PAYMENT_NOT_AUTHORIZED,Payment not Authorized,auhtorization_failure,Technical,Issuer,Retry with another card,Authorization,N
BAD_REQUEST_PAYMENT_AMOUNT_TOO_HIGH_DECLINED_BY_ISSUER,Payment amount too high for the customer,limit_breach,Business,Issuer,Retry with another card with higher limit,Authorization,D
BAD_REQUEST_PAYMENT_DECLINED_BY_BANK,Declined by Bank,bank_decline,Business,Issuer,Retry with another card,Authorization,N
BAD_REQUEST_PAYMENT_DECLINED_CONTACT_ISSUING_BANK,"Payment declined, contact issuing bank.",bank_decline,Technical,Issuer,Retry with another card,Authorization,N
BAD_REQUEST_PAYMENT_CARD_ISSUING_BANK_NOT_PERMITTING_PAYMENT,Payment not permitted by Issuing Bank,bank_decline,Business,Issuer,Retry with another card,Authorization,N
BAD_REQUEST_INVALID_CARD_DETAILS,Invalid card details,invalid_card,Business,Issuer,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_PAYMENT_CARD_CVV_NOT_PROVIDED,Invalid CVV,invalid_cvv,Business,Issuer,Retry with correct details/ another card,Authentication,D
BAD_REQUEST_PAYMENT_VERIFICATION_FAILED,Payment verification failed,verification_failure,Business,Issuer,Retry with another card,Verify,N
BAD_REQUEST_PAYMENT_DECLINED_BY_BANK_DUE_TO_BLOCKED_CARD,Blocked card,invalid_card,Business,Issuer,Retry with another card,Authorization,D
BAD_REQUEST_CARD_FROZEN,Card frozen,invalid_card,Business,Issuer,Retry with another card,Authorization,D
BAD_REQUEST_CARD_INACTIVE,Card inactive,invalid_card,Business,Issuer,Retry with another card,Authorization,D
BAD_REQUEST_PAYMENT_CARD_TYPE_INVALID,Invalid card type,invalid_card,Business,Issuer,Retry with another card,Authorization,N
BAD_REQUEST_PAYMENT_BLOCKED_DUE_TO_FRAUD,Payment blocked for possible fraud,risk_decline,Business,Issuer,Retry with another card,Authorization,N
BAD_REQUEST_PAYMENT_DECLINED_BY_BANK_DUE_TO_RISK,Payment blocked for possible fraud,risk_decline,Business,Issuer,Retry with another card,Authorization,N
GATEWAY_ERROR_ENSTAGE_ERROR,Enstage error,gateway_transaction_error ,Technical,Issuer,Non actionable,,N
BAD_REQUEST_PAYMENT_FAILED,Payment Failed,payment_failed,Technical,Gateway,Non actionable,,N
BAD_REQUEST_MERCHANT_RECURRING_PAYMENTS_NOT_SUPPORTED,Recurring payments not supported for merchant,invalid_request,Technical,Merchant,Post failure Communication to merchant,Initiation,N
BAD_REQUEST_ACTION_NOT_APPROVED,Action not approved,invalid_request,Technical,Merchant,Non actionable,Initiation,N
BAD_REQUEST_TRANSACTIONS_LIMIT_REACHED,Insufficient Balance - Merchant limit exceeded,limit_breach,Business,Merchant,Non actionable,Initiation,N
